IdCliente;Fecha Nacimiento;Actividad Laboral;Estado Civil;Nivel Educacional;Tiene Mora;Saldo Medio Anual;Tiene Crédito Hipotecario;Tiene Crédito de Consumo;Medio de Contacto Preferente;Contactos con su Ejecutivo;Tiene Inversiones
16848;10/4/1970;Trabajador Dependiente;Soltero;Enseñanza Básica;No;800000;Si;No;Celular;0;Si
42635;26/4/1974;Trabajador Dependiente;Soltero;Enseñanza Básica;No;799000;No;No;Celular;0;No
29013;18/4/1966;Trabajador Dependiente;Soltero;Enseñanza Básica;No;790000;No;No;Celular;0;No
5869;30/3/1959;Trabajador Dependiente;Soltero;Enseñanza Básica;No;767000;No;No;Emailing;0;No
29057;18/4/1966;Trabajador Dependiente;Soltero;Enseñanza Básica;No;745000;No;No;Fono Particular;0;Si
28716;18/4/1972;Trabajador Dependiente;Soltero;Enseñanza Básica;No;739000;Si;No;Celular;0;No
41664;25/4/1978;Trabajador Dependiente;Soltero;Enseñanza Básica;No;731000;Si;No;Celular;0;No
8773;2/4/1962;Trabajador Dependiente;Soltero;Enseñanza Básica;No;723000;No;No;Celular;0;No
17620;10/4/1970;Trabajador Dependiente;Soltero;Enseñanza Básica;No;698000;Si;No;Emailing;0;No
12455;6/4/1966;Trabajador Dependiente;Soltero;Enseñanza Básica;No;683000;No;No;Celular;0;No
12499;6/4/1966;Trabajador Dependiente;Soltero;Enseñanza Básica;No;683000;No;No;Celular;1;No
10285;4/4/1964;Trabajador Dependiente;Soltero;Enseñanza Básica;No;655000;Si;No;Celular;0;No
30221;19/4/1968;Trabajador Dependiente;Soltero;Enseñanza Básica;No;654000;No;No;Emailing;0;No
18461;11/4/1971;Trabajador Dependiente;Soltero;Enseñanza Básica;No;629000;Si;No;Emailing;0;No
29558;18/4/1968;Trabajador Dependiente;Soltero;Enseñanza Básica;No;608000;Si;Si;Emailing;0;No
45189;4/5/1984;Trabajador Dependiente;Soltero;Enseñanza Básica;No;608000;No;No;Celular;2;Si
9020;2/4/1962;Trabajador Dependiente;Soltero;Enseñanza Básica;No;604000;No;No;Emailing;0;No
37411;22/4/1975;Trabajador Dependiente;Soltero;Enseñanza Básica;No;596000;No;No;Fono Particular;0;No
25195;16/4/1968;Trabajador Dependiente;Soltero;Enseñanza Básica;No;561000;No;No;Celular;2;No
26733;17/4/1969;Trabajador Dependiente;Soltero;Enseñanza Básica;No;561000;No;No;Emailing;0;No
23572;15/4/1963;Trabajador Dependiente;Soltero;Enseñanza Básica;No;556000;Si;No;Emailing;0;No
40582;24/4/1978;Trabajador Dependiente;Soltero;Enseñanza Básica;No;550000;No;No;Celular;0;Si
42183;26/4/1975;Trabajador Dependiente;Soltero;Enseñanza Básica;No;528000;Si;Si;Celular;2;No
43165;27/4/1976;Trabajador Dependiente;Soltero;Enseñanza Básica;No;528000;Si;Si;Celular;0;No
11019;4/4/1964;Trabajador Dependiente;Soltero;Enseñanza Básica;No;505000;No;No;Emailing;0;No
31946;19/4/1973;Trabajador Dependiente;Soltero;Enseñanza Básica;No;496000;Si;No;Celular;0;No
42275;26/4/1973;Trabajador Dependiente;Soltero;Enseñanza Básica;No;494000;No;No;Celular;0;No
682;17/3/1961;Trabajador Dependiente;Soltero;Enseñanza Básica;No;491000;No;No;Fono Particular;0;No
28905;18/4/1967;Trabajador Dependiente;Soltero;Enseñanza Básica;No;483000;No;No;Celular;0;No
44607;29/4/1978;Trabajador Dependiente;Soltero;Enseñanza Básica;No;474000;No;No;Celular;1;No
44659;29/4/1978;Trabajador Dependiente;Soltero;Enseñanza Básica;No;474000;No;No;Celular;0;Si
21867;14/4/1966;Trabajador Dependiente;Soltero;Enseñanza Básica;No;471000;Si;No;Celular;1;No
23827;15/4/1967;Trabajador Dependiente;Soltero;Enseñanza Básica;No;471000;Si;No;Emailing;0;No
1431;24/3/1965;Trabajador Dependiente;Soltero;Enseñanza Básica;No;470000;No;No;Emailing;0;No
6192;30/3/1959;Trabajador Dependiente;Soltero;Enseñanza Básica;No;466000;No;No;Celular;0;No
13055;6/4/1966;Trabajador Dependiente;Soltero;Enseñanza Básica;No;456000;No;No;Emailing;0;No
40238;24/4/1976;Trabajador Dependiente;Soltero;Enseñanza Básica;No;453000;No;No;Celular;0;No
31027;19/4/1973;Trabajador Dependiente;Soltero;Enseñanza Básica;No;451000;No;No;Celular;0;No
31715;19/4/1972;Trabajador Dependiente;Soltero;Enseñanza Básica;No;443000;No;No;Celular;1;No
29456;18/4/1971;Trabajador Dependiente;Soltero;Enseñanza Básica;No;434000;No;No;Emailing;0;No
45022;1/5/1986;Trabajador Dependiente;Soltero;Enseñanza Básica;No;423000;No;No;Celular;10;Si
45075;2/5/1987;Trabajador Dependiente;Soltero;Enseñanza Básica;No;423000;No;No;Fono Particular;5;Si
45098;2/5/1987;Trabajador Dependiente;Soltero;Enseñanza Básica;No;423000;No;No;Celular;0;Si
39916;23/4/1972;Trabajador Dependiente;Soltero;Enseñanza Básica;No;411000;Si;No;Celular;1;No
36838;22/4/1976;Trabajador Dependiente;Soltero;Enseñanza Básica;No;406000;No;No;Celular;0;Si
36379;22/4/1974;Trabajador Dependiente;Soltero;Enseñanza Básica;No;399000;Si;No;Celular;0;No
32359;20/4/1975;Trabajador Dependiente;Soltero;Enseñanza Básica;No;396000;No;No;Celular;0;No
24606;15/4/1964;Trabajador Dependiente;Soltero;Enseñanza Básica;No;393000;Si;No;Celular;0;No
44145;28/4/1979;Trabajador Dependiente;Soltero;Enseñanza Básica;No;373000;Si;No;Celular;0;Si
40394;24/4/1973;Trabajador Dependiente;Soltero;Enseñanza Básica;No;339000;No;No;Emailing;0;No
41734;25/4/1972;Trabajador Dependiente;Soltero;Enseñanza Básica;No;332000;No;No;Celular;0;No
1403;24/3/1970;Trabajador Dependiente;Soltero;Enseñanza Básica;No;313000;Si;No;Emailing;0;No
42092;25/4/1979;Trabajador Dependiente;Soltero;Enseñanza Básica;No;307000;No;No;Celular;0;No
41384;25/4/1975;Trabajador Dependiente;Soltero;Enseñanza Básica;No;302000;No;No;Emailing;0;No
12250;6/4/1966;Trabajador Dependiente;Soltero;Enseñanza Básica;No;289000;No;No;Celular;0;No
36746;22/4/1969;Trabajador Dependiente;Soltero;Enseñanza Básica;No;287000;Si;No;Celular;0;No
31985;19/4/1967;Trabajador Dependiente;Soltero;Enseñanza Básica;No;286000;Si;No;Celular;0;No
45063;2/5/1985;Trabajador Dependiente;Soltero;Enseñanza Básica;No;281000;No;No;Emailing;0;No
2849;26/3/1960;Trabajador Dependiente;Soltero;Enseñanza Básica;No;278000;No;No;Emailing;0;No
5247;29/3/1958;Trabajador Dependiente;Soltero;Enseñanza Básica;No;274000;No;No;Celular;0;No
17124;10/4/1970;Trabajador Dependiente;Soltero;Enseñanza Básica;No;264000;No;No;Celular;0;No
45184;4/5/1987;Trabajador Dependiente;Soltero;Enseñanza Básica;No;245000;No;No;Fono Particular;2;No
41605;25/4/1978;Trabajador Dependiente;Soltero;Enseñanza Básica;No;236000;No;No;Celular;0;No
42091;25/4/1978;Trabajador Dependiente;Soltero;Enseñanza Básica;No;236000;No;No;Celular;3;No
25267;16/4/1970;Trabajador Independiente;Soltero;Enseñanza Básica;No;235000;Si;No;Celular;9;No
26971;17/4/1971;Trabajador Independiente;Soltero;Enseñanza Básica;No;235000;Si;No;Emailing;0;No
42629;26/4/1974;Trabajador Dependiente;Soltero;Enseñanza Básica;No;223000;No;No;Celular;0;No
7477;1/4/1961;Trabajador Independiente;Soltero;Enseñanza Básica;No;217000;No;Si;Celular;0;No
19645;12/4/1967;Trabajador Dependiente;Soltero;Enseñanza Básica;No;216000;No;No;Celular;0;No
9416;3/4/1963;Trabajador Dependiente;Soltero;Enseñanza Básica;No;208000;No;No;Emailing;0;No
27200;17/4/1972;Trabajador Dependiente;Soltero;Enseñanza Básica;No;207000;No;No;Emailing;0;No
18955;11/4/1971;Trabajador Dependiente;Soltero;Enseñanza Básica;No;206000;No;Si;Celular;0;No
25699;16/4/1963;Trabajador Dependiente;Soltero;Enseñanza Básica;No;206000;No;No;Celular;0;No
12010;5/4/1965;Trabajador Dependiente;Soltero;Enseñanza Básica;No;204000;Si;No;Celular;0;No
6183;30/3/1959;Trabajador Dependiente;Soltero;Enseñanza Básica;No;199000;Si;No;Celular;0;No
24226;15/4/1969;Trabajador Dependiente;Soltero;Enseñanza Básica;No;199000;Si;No;Celular;1;No
26418;16/4/1970;Trabajador Dependiente;Soltero;Enseñanza Básica;No;199000;Si;No;Celular;0;No
42049;25/4/1980;Trabajador Dependiente;Soltero;Enseñanza Básica;No;198000;No;No;Celular;0;No
6855;31/3/1960;Trabajador Dependiente;Soltero;Enseñanza Básica;No;183000;No;No;Celular;0;No
26798;17/4/1969;Trabajador Dependiente;Soltero;Enseñanza Básica;No;183000;No;No;Emailing;0;No
10118;3/4/1963;Trabajador Dependiente;Soltero;Enseñanza Básica;No;181000;Si;No;Celular;3;No
10910;4/4/1964;Trabajador Dependiente;Soltero;Enseñanza Básica;No;181000;Si;No;Emailing;0;No
29685;18/4/1972;Trabajador Independiente;Soltero;Enseñanza Básica;No;181000;Si;No;Emailing;0;No
37311;22/4/1976;Trabajador Dependiente;Soltero;Enseñanza Básica;No;181000;Si;No;Celular;2;No
43114;27/4/1974;Trabajador Dependiente;Soltero;Enseñanza Básica;No;179000;Si;Si;Celular;0;No
43871;27/4/1976;Trabajador Dependiente;Soltero;Enseñanza Básica;No;177000;Si;No;Celular;0;No
30045;18/4/1968;Trabajador Dependiente;Soltero;Enseñanza Básica;No;167000;No;Si;Celular;0;No
36570;22/4/1976;Trabajador Dependiente;Soltero;Enseñanza Básica;No;163000;No;No;Celular;1;No
38974;23/4/1977;Trabajador Independiente;Soltero;Enseñanza Básica;No;163000;No;No;Celular;0;No
23952;15/4/1970;Obrero;Soltero;Enseñanza Básica;No;162000;Si;No;Celular;0;No
40415;24/4/1971;Obrero;Soltero;Enseñanza Básica;No;161000;No;Si;Celular;0;No
12189;6/4/1966;Obrero;Soltero;Enseñanza Básica;No;159000;Si;No;Celular;13;No
19077;11/4/1971;Obrero;Soltero;Enseñanza Básica;No;156000;Si;No;Fono Particular;5;No
19951;12/4/1964;Obrero;Soltero;Enseñanza Básica;No;156000;Si;No;Celular;0;No
43413;27/4/1980;Obrero;Soltero;Enseñanza Básica;No;155000;Si;No;Celular;4;No
44239;28/4/1981;Obrero;Soltero;Enseñanza Básica;No;155000;Si;No;Celular;0;No
41152;25/4/1974;Obrero;Soltero;Enseñanza Básica;No;150000;No;Si;Celular;0;No
9506;3/4/1963;Trabajador Dependiente;Soltero;Enseñanza Básica;No;148000;Si;No;Emailing;0;No
21701;13/4/1965;Obrero;Soltero;Enseñanza Básica;No;147000;Si;No;Celular;0;No
26416;16/4/1968;Obrero;Soltero;Enseñanza Básica;No;147000;No;No;Celular;0;No
44192;28/4/1980;Obrero;Soltero;Enseñanza Básica;No;147000;Si;No;Celular;2;No
44491;29/4/1981;Obrero;Soltero;Enseñanza Básica;No;147000;Si;No;Celular;0;No
2626;26/3/1966;Trabajador Dependiente;Soltero;Enseñanza Básica;No;145000;Si;Si;Celular;0;No
40856;24/4/1978;Obrero;Soltero;Enseñanza Básica;No;145000;No;No;Celular;0;No
44636;29/4/1983;Obrero;Soltero;Enseñanza Básica;No;145000;Si;No;Celular;1;No
44900;30/4/1984;Obrero;Soltero;Enseñanza Básica;No;145000;Si;No;Celular;0;No
15718;9/4/1969;Obrero;Soltero;Enseñanza Básica;No;142000;Si;No;Celular;0;No
17923;10/4/1970;Trabajador Dependiente;Soltero;Enseñanza Básica;No;140000;No;Si;Fono Particular;0;No
42544;26/4/1976;Trabajador Dependiente;Soltero;Enseñanza Básica;No;140000;Si;Si;Celular;0;No
42698;26/4/1976;Obrero;Soltero;Enseñanza Básica;No;140000;No;No;Fono Particular;0;No
18270;11/4/1971;Obrero;Soltero;Enseñanza Básica;No;134000;Si;Si;Celular;0;No
45159;3/5/1980;Trabajador Dependiente;Soltero;Enseñanza Básica;No;134000;No;No;Celular;3;No
45196;4/5/1981;Trabajador Dependiente;Soltero;Enseñanza Básica;No;134000;No;No;Celular;0;No
12311;6/4/1966;Obrero;Soltero;Enseñanza Básica;No;133000;Si;No;Celular;3;No
44128;28/4/1980;Trabajador Dependiente;Soltero;Enseñanza Básica;No;129000;No;No;Celular;0;No
24020;15/4/1969;Obrero;Soltero;Enseñanza Básica;No;127000;Si;No;Celular;0;No
33495;20/4/1974;Obrero;Soltero;Enseñanza Básica;No;127000;Si;No;Celular;0;No
37753;22/4/1970;Obrero;Soltero;Enseñanza Básica;No;124000;Si;No;Celular;0;No
35227;21/4/1972;Obrero;Soltero;Enseñanza Básica;No;121000;Si;No;Celular;0;No
11268;5/4/1965;Trabajador Dependiente;Soltero;Enseñanza Básica;No;119000;No;Si;Celular;0;No
21746;13/4/1967;Obrero;Soltero;Enseñanza Básica;No;118000;No;No;Celular;0;No
25996;16/4/1971;Obrero;Soltero;Enseñanza Básica;No;117000;Si;No;Celular;0;No
14453;8/4/1968;Obrero;Soltero;Enseñanza Básica;No;116000;Si;No;Celular;1;No
14900;8/4/1968;Obrero;Soltero;Enseñanza Básica;No;116000;No;No;Celular;0;No
16046;9/4/1969;Obrero;Soltero;Enseñanza Básica;No;116000;Si;No;Celular;0;No
23668;15/4/1962;Obrero;Soltero;Enseñanza Básica;No;116000;No;Si;Celular;0;No
44324;28/4/1975;Obrero;Soltero;Enseñanza Básica;No;116000;Si;No;Celular;0;No
40275;24/4/1972;Trabajador Dependiente;Soltero;Enseñanza Básica;No;115000;No;No;Celular;0;No
10906;4/4/1964;Trabajador Dependiente;Soltero;Enseñanza Básica;No;114000;Si;No;Emailing;0;No
43753;27/4/1976;Trabajador Dependiente;Soltero;Enseñanza Básica;No;114000;Si;No;Celular;0;No
15354;8/4/1968;Trabajador Independiente;Soltero;Enseñanza Básica;No;112000;No;No;Emailing;0;No
44431;29/4/1981;Obrero;Soltero;Enseñanza Básica;No;111000;Si;Si;Celular;0;No
45032;1/5/1984;Trabajador Dependiente;Soltero;Enseñanza Básica;No;110000;Si;No;Celular;0;No
21769;13/4/1967;Trabajador Dependiente;Soltero;Enseñanza Básica;No;109000;Si;No;Celular;3;No
22671;14/4/1968;Trabajador Dependiente;Soltero;Enseñanza Básica;No;109000;Si;No;Emailing;0;No
27538;17/4/1971;Obrero;Soltero;Enseñanza Básica;No;109000;Si;No;Fono Particular;2;No
29757;18/4/1972;Obrero;Soltero;Enseñanza Básica;No;109000;Si;No;Celular;0;No
39763;23/4/1972;Obrero;Soltero;Enseñanza Básica;No;105000;Si;No;Celular;1;No
